ï»¿X,Y,OBJECTID,cat3,Name,addrln1,addrln2,city,state,zip,link,latitude,longitude
-118.6132438,34.45067954,2121,jail,Los Angeles County Sheriff - Pitchess Detention Center North Facility,29320 The  Old Rd,,Castaic,CA,91384,http://egis3.lacounty.gov/lms/?p=2321,34.45067957,-118.6132437
-118.6151265,34.4514706,2122,jail,Los Angeles County Sheriff - Pitchess Detention Center South Facility,29330 The Old Rd,,Castaic,CA,91384,http://egis3.lacounty.gov/lms/?p=2322,34.45147063,-118.6151264
-118.2263491,33.92774597,2124,jail,Los Angeles County Sheriff - Century Regional Detention Facility,11705 S. Alameda St.,,Lynwood,CA,90262,http://egis3.lacounty.gov/lms/?p=2324,33.927746,-118.226349
-118.6152093,34.45159075,2125,jail,Los Angeles County Sheriff - North County Correctional Facility,29340 The Old Rd,,Castaic,CA,91384,http://egis3.lacounty.gov/lms/?p=2325,34.45159078,-118.6152092
-118.2310651,34.05914097,2165,jail,Los Angeles County Sheriff - Twin Towers Correctional Facility,450 Bauchet St.,,Los Angeles,CA,90012,http://egis3.lacounty.gov/lms/?p=2456,34.059141,-118.231065
-118.5978392,34.4583125,2166,jail,Los Angeles County Sheriff - Pitchess Detention Center East Facility,29310 The  Old Rd,,Castaic,CA,91384,http://egis3.lacounty.gov/lms/?p=2457,34.45831253,-118.5978391
-118.2314871,34.05926897,2167,jail,Los Angeles County Sheriff - Men's Central Jail,441 Bauchet St.,,Los Angeles,CA,90012,http://egis3.lacounty.gov/lms/?p=2458,34.059269,-118.231487
-118.2310651,34.05914097,2940,jail,Los Angeles County Sheriff - Inmate Reception Center,450 Bauchet St.,,Los Angeles,CA,90012,http://egis3.lacounty.gov/lms/?p=3112,34.059141,-118.231065
-118.1695159,34.05278907,22169,jail,Biscailuz Center,,,,,,http://egis3.lacounty.gov/lms/?p=24431,34.0527891,-118.1695158
-118.2278789,34.69376186,54999,state prison,California State Department Of Corrections And Rehabilitation - California State Prison - Los Angeles County,44750 60Th St W,,Lancaster,CA,93536,http://egis3.lacounty.gov/lms/?p=57222,34.69376189,-118.2278788
-118.2446761,34.04832797,58657,detention,United States Citizenship And Immigration Services - Downtown Detention Center,300 S. Los Angeles St.,,Los Angeles,CA,90012,http://egis3.lacounty.gov/lms/?p=60083,34.048328,-118.244676
-118.2365001,34.70221997,58658,detention,United States Citizenship And Immigration Services - Mira Loma Detention Center,45100 N. 60th St. W,,Lancaster,CA,93536,http://egis3.lacounty.gov/lms/?p=60084,34.70222,-118.2365
-118.2382007,34.05335674,64655,federal prison,Federal Bureau Of Prisons - Mdc Los Angeles,535 N Alameda St,,Los Angeles,CA,90012,http://egis3.lacounty.gov/lms/?p=71354,34.05335677,-118.2382006
-118.2689452,33.72522574,64656,federal prison,Federal Bureau Of Prisons - Fci  Terminal Island,1299 S Seaside Ave,,San Pedro,CA,90731,http://egis3.lacounty.gov/lms/?p=71355,33.72522577,-118.2689451
